rows,cols,iterations,input,final,stack,read_s,compute_s,write_s,overall_s
256,256,110,../data/initial.dat,../data/final_serial.dat,disabled,1.759529114e-04,3.365039825e-03,3.359317780e-04,3.880977631e-03
256,256,130,../data/initial.dat,../data/final_serial.dat,disabled,2.210140228e-04,3.911972046e-03,3.528594971e-04,4.490852356e-03
256,256,130,../data/initial.dat,../data/final_serial.dat,disabled,1.869201660e-04,4.159927368e-03,3.530979156e-04,4.705190659e-03
256,256,130,../data/initial.dat,../data/final_serial.dat,disabled,1.709461212e-04,3.764867783e-03,3.321170807e-04,4.271984100e-03
256,256,130,../data/initial.dat,../data/final_serial.dat,disabled,1.761913300e-04,3.710031509e-03,5.729198456e-04,4.462003708e-03
256,256,130,../data/initial.dat,../data/final_serial.dat,disabled,1.978874207e-04,3.871917725e-03,4.580020905e-04,4.532814026e-03
256,256,150,../data/initial.dat,../data/final_serial.dat,disabled,1.809597015e-04,4.893064499e-03,3.759860992e-04,5.455017090e-03
256,256,150,../data/initial.dat,../data/final_serial.dat,disabled,1.881122589e-04,4.369020462e-03,3.302097321e-04,4.895210266e-03
256,256,150,../data/initial.dat,../data/final_serial.dat,disabled,1.690387726e-04,4.339933395e-03,3.280639648e-04,4.841089249e-03
256,256,150,../data/initial.dat,../data/final_serial.dat,disabled,1.671314240e-04,4.529953003e-03,3.230571747e-04,5.023002625e-03
256,256,150,../data/initial.dat,../data/final_serial.dat,disabled,1.559257507e-04,4.709005356e-03,4.940032959e-04,5.363941193e-03
256,256,170,../data/initial.dat,../data/final_serial.dat,disabled,4.150867462e-04,1.156687737e-02,5.300045013e-04,1.252102852e-02
256,256,170,../data/initial.dat,../data/final_serial.dat,disabled,4.889965057e-04,5.662918091e-03,5.199909210e-04,6.682872772e-03
256,256,170,../data/initial.dat,../data/final_serial.dat,disabled,2.250671387e-04,5.326986313e-03,4.689693451e-04,6.026029587e-03
256,256,170,../data/initial.dat,../data/final_serial.dat,disabled,2.989768982e-04,5.356073380e-03,5.040168762e-04,6.165027618e-03
256,256,170,../data/initial.dat,../data/final_serial.dat,disabled,2.431869507e-04,5.167007446e-03,3.790855408e-04,5.794048309e-03
256,256,190,../data/initial.dat,../data/final_serial.dat,disabled,1.978874207e-04,6.299972534e-03,4.339218140e-04,6.936788559e-03
256,256,190,../data/initial.dat,../data/final_serial.dat,disabled,2.169609070e-04,5.445957184e-03,6.530284882e-04,6.320953369e-03
256,256,190,../data/initial.dat,../data/final_serial.dat,disabled,2.031326294e-04,5.830049515e-03,3.871917725e-04,6.425142288e-03
256,256,190,../data/initial.dat,../data/final_serial.dat,disabled,1.871585846e-04,5.502939224e-03,3.499984741e-04,6.044149399e-03
256,256,190,../data/initial.dat,../data/final_serial.dat,disabled,1.869201660e-04,5.660057068e-03,3.550052643e-04,6.206035614e-03
