iteration,label,ranks,rank,overall_avg,overall_peak,job_avg,job_peak_rank,section_avg,section_peak,section_job_avg,section_job_peak_rank
0,mpi_matvec,1,0,1.100953789,2168.903355759,1.100953789,2168.903355759,1.100962868,2213.920031595,1.100962868,2213.920031595
0,mpi_matvec,1,0,1.026758040,1969.351953477,1.026758040,1969.351953477,1.026766386,1993.893656947,1.026766386,1993.893656947
0,mpi_matvec,1,0,1.053454312,2006.269588247,1.053454312,2006.269588247,1.053462696,2031.746047875,1.053462696,2031.746047875
0,mpi_matvec,1,0,1.053343326,2044.597787654,1.053343326,2044.597787654,1.053354947,2098.085540378,1.053354947,2098.085540378
0,mpi_matvec,1,0,1.102503309,1877.163159112,1.102503309,1877.163159112,1.102516397,1922.268231154,1.102516397,1922.268231154
0,mpi_matvec,1,0,1.093268678,2098.085477822,1.093268678,2098.085477822,1.093277641,2125.822099491,1.093277641,2125.822099491
0,mpi_matvec,1,0,1.096756283,2154.301900435,1.096756283,2154.301900435,1.096769017,2213.920031595,1.096769017,2213.920031595
0,mpi_matvec,1,0,1.112588610,2213.920031595,1.112588610,2213.920031595,1.112601631,2260.685283465,1.112601631,2260.685283465
0,mpi_matvec,1,0,1.070646814,2127.235312509,1.070646814,2127.235312509,1.070655503,2170.374381540,1.070655503,2170.374381540
0,mpi_matvec,1,0,1.118708974,2099.461979105,1.118708974,2099.461979105,1.118714599,2113.327178067,1.118714599,2113.327178067
0,mpi_matvec,1,0,1.125703936,2170.227189175,1.125703936,2170.227189175,1.125713141,2200.068769483,1.125713141,2200.068769483
0,mpi_matvec,1,0,1.131126346,2141.327657725,1.131126346,2141.327657725,1.131135707,2185.195339444,1.131135707,2185.195339444
0,mpi_matvec,1,0,1.123195702,1726.929300669,1.123195702,1726.929300669,1.123208879,1774.721327655,1.123208879,1774.721327655
0,mpi_matvec,1,0,1.129429452,2170.374381540,1.129429452,2170.374381540,1.129442793,2230.586967315,1.129442793,2230.586967315
0,mpi_matvec,1,0,1.124370182,1681.732164321,1.124370182,1681.732164321,1.124379808,1708.580299527,1.124379808,1708.580299527
0,mpi_matvec,1,0,1.125057599,2141.470955928,1.125057599,2141.470955928,1.125067101,2170.374381540,1.125067101,2170.374381540
0,mpi_matvec,1,0,1.161988172,2954.035182217,1.161988172,2954.035182217,1.161994485,2971.415013608,1.161994485,2971.415013608
0,mpi_matvec,1,0,1.083812165,2744.990365113,1.083812165,2744.990365113,1.083817718,2759.991188645,1.083817718,2759.991188645
0,mpi_matvec,1,0,1.063803667,2700.513135729,1.063803667,2700.513135729,1.063811282,2744.990365113,1.063811282,2744.990365113
0,mpi_matvec,1,0,1.126150038,2524.232612763,1.126150038,2524.232612763,1.126156033,2562.919659731,1.126156033,2562.919659731
0,mpi_matvec,1,0,1.122996133,2715.177793928,1.122996133,2715.177793928,1.123002041,2759.991188645,1.123002041,2759.991188645
0,mpi_matvec,1,0,1.128551438,2730.002724948,1.128551438,2730.002724948,1.128555009,2744.990433643,1.128555009,2744.990433643
0,mpi_matvec,1,0,1.101028603,2284.356725978,1.101028603,2284.356725978,1.101034388,2305.422371087,1.101034388,2305.422371087
0,mpi_matvec,1,0,1.097314895,2018.407883071,1.097314895,2018.407883071,1.097320743,2034.670770760,1.097320743,2034.670770760
0,mpi_matvec,1,0,1.098724399,2701.826459052,1.098724399,2701.826459052,1.098730317,2746.196477618,1.098730317,2746.196477618
0,mpi_matvec,1,0,1.092389717,1023.562406700,1.092389717,1023.562406700,1.092398359,1031.970451677,1.092398359,1031.970451677
0,mpi_matvec,1,0,1.066628127,2305.422371087,1.066628127,2305.422371087,1.066633665,2326.663552722,1.066633665,2326.663552722
0,mpi_matvec,1,0,1.071045355,1986.412912751,1.071045355,1986.412912751,1.071055441,2018.326407814,1.071055441,2018.326407814
0,mpi_matvec,1,0,1.072799548,2731.344894975,1.072799548,2731.344894975,1.072802892,2746.347384807,1.072802892,2746.347384807
0,mpi_matvec,1,0,1.050242667,2085.331760401,1.050242667,2085.331760401,1.050248125,2129.471892636,1.050248125,2129.471892636
0,mpi_matvec,1,0,1.047823874,2551.150556213,1.047823874,2551.150556213,1.047827050,2564.102593000,1.047827050,2564.102593000
0,mpi_matvec,1,0,1.092226945,2747.403719138,1.092226945,2747.403719138,1.092235144,2777.777819880,1.092235144,2777.777819880
0,mpi_matvec,1,0,1.053285321,2526.528562973,1.053285321,2526.528562973,1.053291143,2552.192309489,1.053291143,2552.192309489
0,mpi_matvec,1,0,1.094010508,2440.691171959,1.094010508,2440.691171959,1.094016186,2488.924297109,1.094016186,2488.924297109
0,mpi_matvec,1,0,1.102186322,2224.694089640,1.102186322,2224.694089640,1.102196926,2285.296393834,1.102196926,2285.296393834
0,mpi_matvec,1,0,1.08210,mpi_matvec,1,0,1.079626426,2688.605655133,1.079626426,2688.605655133,1.079634372,2732.539043397,1.079634372,2732.539043397
87451,2513.952408986,1.082187451,2513.952408986,1.082193143,2552.062043804,1.082193143,2552.062043804
0,mpi_matvec,1,0,1.051772773,2632.271634000,1.051772773,2632.271634000,1.051778045,2674.368900067,1.051778045,2674.368900067
0,mpi_matvec,1,0,1.138674786,2405.696707836,1.138674786,2405.696707836,1.138683484,2452.543293458,1.138683484,2452.543293458
0,mpi_matvec,1,0,1.136063801,2717.686695380,1.136063801,2717.686695380,1.136069866,2762.583561367,1.136069866,2762.583561367
0,mpi_matvec,1,0,1.106206173,2176.562781831,1.106206173,2176.562781831,1.106211982,2214.839423878,1.106211982,2214.839423878
0,mpi_matvec,1,0,1.112405417,2688.750233386,1.112405417,2688.750233386,1.112413863,2732.539111307,1.112413863,2732.539111307
0,mpi_matvec,1,0,1.130681660,2660.140462583,1.130681660,2660.140462583,1.130687717,2703.141060396,1.130687717,2703.141060396
0,mpi_matvec,1,0,1.144220733,2717.686695380,1.144220733,2717.686695380,1.144229450,2762.431003459,1.144229450,2762.431003459
0,mpi_matvec,1,0,1.113445815,2477.700710341,1.113445815,2477.700710341,1.113454135,2514.837505078,1.113454135,2514.837505078
0,mpi_matvec,1,0,1.113232545,2489.915840548,1.113232545,2489.915840548,1.113238704,2502.377239555,1.113238704,2502.377239555
0,mpi_matvec,1,0,1.116462195,2453.506056048,1.116462195,2453.506056048,1.116468106,2477.700654507,1.116468106,2477.700654507
0,mpi_matvec,1,0,1.120184852,2441.644704183,1.120184852,2441.644704183,1.120190896,2477.577937707,1.120190896,2477.577937707
0,mpi_matvec,1,0,1.093067182,2441.644649962,1.093067182,2441.644649962,1.093073073,2465.483269134,1.093073073,2465.483269134
0,mpi_matvec,1,0,1.129511213,2794.232713275,1.129511213,2794.232713275,1.129517242,2825.656929444,1.129517242,2825.656929444
