rows,cols,steps,threads,problem,avg_read_time_s,avg_compute_time_s,avg_write_time_s,speedup,efficiency,count
200,300,1000,10,60000000,0.0,0.05375781059265137,0.0,4.9140363124155675,0.4914036312415567,5
200,300,1000,12,60000000,0.0,0.045178794860839845,0.0,5.847164231404121,0.4872636859503434,5
200,300,1000,14,60000000,0.0,0.040759611129760745,0.0,6.481117606526039,0.4629369718947171,5
200,300,1000,16,60000000,0.0,0.03812475204467773,0.0,6.929037414293826,0.4330648383933641,5
200,300,1000,18,60000000,0.0,0.03583645820617676,0.0,7.371482745544179,0.4095268191968988,5
200,300,1000,20,60000000,0.0,0.03469738960266113,0.0,7.613478603243012,0.38067393016215056,5
200,300,2000,1,120000000,0.0,0.5205209255218506,0.0,1.0,1.0,5
200,300,2000,2,120000000,0.0,0.2722464084625244,0.0,1.9119478139727304,0.9559739069863652,5
200,300,2000,4,120000000,0.0,0.15879240036010742,0.0,3.2779964553808605,0.8194991138452151,5
200,300,2000,8,120000000,0.0,0.10648927688598633,0.0,4.888012584395242,0.6110015730494053,5
200,300,2000,10,120000000,0.0,0.1020993709564209,0.0,5.098179554348329,0.5098179554348329,5
