n,p,a,b,answer,time_seconds,speedup,efficiency
200000000,115,10.0,20.0,2333.33333333333,0.014387,47.926391881559745,0.41675123375269346
200000000,116,10.0,20.0,2333.333333333349,0.012437,55.440781538956344,0.4779377718875547
200000000,117,10.0,20.0,2333.333333333335,0.015275,45.14022913256956,0.3858139242099962
200000000,118,10.0,20.0,2333.333333333332,0.011826,58.30517503805176,0.49411165286484543
200000000,119,10.0,20.0,2333.333333333354,0.013739,50.18684038139603,0.4217381544655129
200000000,120,10.0,20.0,2333.333333333336,0.015333,44.96947759733908,0.37474564664449234
200000000,121,10.0,20.0,2333.333333333332,0.017904,38.51189678284182,0.3182801387011721
200000000,122,10.0,20.0,2333.33333333334,0.015986,43.13255348429876,0.3535455203631046
200000000,123,10.0,20.0,2333.333333333329,0.012387,55.6645676919351,0.45255746091004145
200000000,124,10.0,20.0,2333.333333333339,0.016716,41.2489231873654,0.33265260634972094
200000000,125,10.0,20.0,2333.333333333328,0.025895,26.627418420544508,0.21301934736435607
200000000,126,10.0,20.0,2333.333333333326,0.018371,37.53290512220348,0.2978801993825673
200000000,127,10.0,20.0,2333.333333333329,0.012798,53.87693389592124,0.42422782595213576
200000000,128,10.0,20.0,2333.333333333325,0.014073,48.995736516734176,0.38277919153698575
