n,trial_index,total_s,read_s,compute_s,write_s
3000,44,0.034878194,0.021363181,0.013430984,7.3772e-05
3000,45,0.0342545,0.020417588,0.013747405,7.9968e-05
3000,46,0.040820782,0.02561121,0.015120939,7.5871e-05
3000,47,0.044329229,0.029648731,0.014596595,7.4307e-05
3000,48,0.038348916,0.023629567,0.014630767,7.7737e-05
3000,49,0.038768705,0.021527127,0.017160489,7.1537e-05
3000,50,0.034962741,0.020260933,0.014622308,6.8964e-05
3000,51,0.035430943,0.020419658,0.014926362,7.5381e-05
3000,52,0.03525555,0.020467128,0.014697179,7.8149e-05
3000,53,0.036202395,0.022591198,0.013523804,7.5107e-05
3000,54,0.039714851,0.02495552,0.014667012,8.1936e-05
3000,55,0.036068372,0.02122709,0.014755995,7.444e-05
4000,1,0.064040022,0.037950772,0.02602999,4.4228e-05
4000,2,0.062633943,0.036542403,0.02600382,7.304e-05
4000,3,0.061980175,0.035902406,0.025994374,6.9847e-05
4000,4,0.062028837,0.03590764,0.026032274,7.5401e-05
4000,5,0.064195949,0.037484863,0.02662155,7.6882e-05
4000,6,0.065238316,0.038884978,0.026259522,8.0816e-05
4000,7,0.066445248,0.040294367,0.026060562,7.6579e-05
4000,8,0.062690517,0.036510276,0.026093028,7.3898e-05
4000,9,0.059034876,0.035101075,0.023844916,7.3567e-05
4000,10,0.062130466,0.03592626,0.026123584,6.5484e-05
4000,11,0.062740768,0.036580898,0.026069164,7.5849e-05
4000,12,0.062159907,0.035887248,0.026185316,7.2552e-05
4000,13,0.058707215,0.034886626,0.023735223,7.0929e-05
4000,14,0.05954941,0.035383278,0.024078142,6.8817e-05
4000,15,0.07663248,0.048114505,0.028422163,8.2011e-05
4000,16,0.060940778,0.036925849,0.023923627,7.6856e-05
4000,17,0.06229286,0.036263351,0.025941953,7.4029e-05
4000,18,0.062187436,0.03836088,0.023734181,7.8371e-05
4000,19,0.062395986,0.036360326,0.025951999,6.9337e-05
4000,20,0.060142334,0.036087296,0.023967327,7.2437e-05
4000,21,0.059038931,0.035177393,0.023768052,7.9565e-05
4000,22,0.059038377,0.035087969,0.023858372,7.7391e-05
4000,23,0.062260417,0.03608475,0.026088188,7.2897e-05
4000,24,0.061492517,0.035412704,0.025990375,6.9859e-05
4000,25,0.061180806,0.0369646,0.024128899,7.1804e-05
4000,26,0.062230804,0.036153056,0.025992572,7.2265e-05
4000,27,0.058554468,0.034764107,0.023710656,6.6854e-05
4000,28,0.06237903,0.03592562,0.02637578,6.2569e-05
4000,29,0.059302882,0.035330934,0.023886042,7.281e-05
4000,30,0.061780703,0.035548364,0.026139424,7.8612e-05
4000,31,0.062256434,0.035786373,0.026369519,7.7432e-05
4000,32,0.058797561,0.034609052,0.024105033,6.8654e-05
4000,33,0.059017532,0.03516354,0.023748021,9.1146e-05
5000,1,0.093025667,0.055452253,0.037497237,5.4337e-05
5000,2,0.093577057,0.056205699,0.037276287,7.2659e-05
5000,3,0.100966753,0.060334796,0.040526195,7.9153e-05
5000,4,0.093705062,0.056535008,0.03706915,7.8798e-05
5000,5,0.097065127,0.056429881,0.040534992,7.3264e-05
5000,6,0.096970132,0.056236611,0.040634471,7.9948e-05
5000,7,0.097010442,0.05637725,0.04054028,7.0566e-05
5000,8,0.09755175,0.0563741,0.041088919,6.7644e-05
5000,9,0.097471739,0.056855673,0.040517798,7.331e-05
5000,10,0.097586893,0.060421782,0.037064039,7.632e-05
5000,11,0.097658371,0.057061205,0.040497269,7.6501e-05
5000,12,0.096851135,0.056194295,0.040562469,7.6152e-05
5000,13,0.108834673,0.06822487,0.040504728,8.0731e-05
5000,14,0.096543952,0.055421494,0.041021726,7.6703e-05
5000,15,0.097130397,0.056378159,0.040654551,7.5117e-05
5000,16,0.094114334,0.05705304,0.036964439,7.5241e-05
5000,17,0.095123397,0.057960516,0.037061582,7.7881e-05
5000,18,0.092323395,0.055210427,0.037016329,7.2841e-05
5000,19,0.098287771,0.057578207,0.040612579,7.5834e-05
5000,20,0.093027257,0.054608364,0.03832035,7.4858e-05
5000,21,0.098982548,0.061875511,0.037006169,7.6487e-05
6000,1,0.138176936,0.084436369,0.053655483,5.8319e-05
6000,2,0.13690769,0.079750429,0.057043664,8.8187e-05
6000,3,0.130247479,0.07680425,0.053334733,8.1779e-05
6000,4,0.137549421,0.079120322,0.05832466,8.0331e-05
6000,5,0.139606796,0.086177254,0.053321291,8.1414e-05
6000,6,0.130087673,0.076624192,0.053360455,8.056e-05
6000,7,0.146517558,0.083343938,0.063020164,0.00012546
6000,8,0.138206521,0.079498457,0.058585209,9.5592e-05
6000,9,0.137737061,0.084336457,0.053291411,8.5111e-05
6000,10,0.139051139,0.080531035,0.058415511,7.7796e-05
6000,11,0.136255451,0.082813748,0.053334613,8.1446e-05
6000,12,0.13826237,0.079705074,0.058453714,7.7107e-05
6000,13,0.138398699,0.079805124,0.058489533,7.9462e-05
6000,14,0.131942173,0.078228442,0.053614964,7.9917e-05
6000,15,0.132699672,0.079229275,0.05336063,8.0219e-05
7000,1,0.179624692,0.106325861,0.073217691,5.3446e-05
7000,2,0.183071215,0.110397823,0.072564244,7.9794e-05
7000,3,0.180997417,0.108321401,0.072562815,8.1845e-05
7000,4,0.182022135,0.109384948,0.072526015,8.155e-05
7000,5,0.192106437,0.112523931,0.079474942,8.0983e-05
7000,6,0.181287109,0.108680182,0.072496912,8.0083e-05
7000,7,0.179850371,0.10716153,0.07258118,8.1047e-05
7000,8,0.190516198,0.110919053,0.079488449,8.2536e-05
7000,9,0.191674529,0.112113103,0.079452476,8.0681e-05
7000,10,0.189480026,0.109286378,0.080076525,9.102e-05
7000,11,0.190109345,0.110490535,0.079509508,8.0411e-05
